Rank,Title,Artist,Genre,Lyrics
31,"I Love You, I'm Sorry",Gracie Abrams,"['Alternative Pop', 'Alternative', 'Folk Pop', 'Chamber Folk', 'Ballad', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",august told truth benz gate charm peopl train aim paid life slam door close trust love summer talk cool boat plane drink wist lean window watch sun set lake feel real life push luck thank send kill love graci abram liveget ticket likebridg worst sick sound love dick habit kick ageold curs tend laugh sad stare crash amend shit wrong wrong life joyrid road lay horn prove haunt wrong wrong love life worst sick sound love wanna speak code dick habit kick ageold curs hope tend laugh sad stare crash love sorryemb
32,TGIF,GloRilla,"['USA', 'Hip-Hop', 'Dirty South', 'Southern Rap', 'Memphis Rap', 'In English', 'Trap', 'Rap']",glorilla gang gang huh uh uh uh chaii hard ayi friday yup ninetyf degre woo nigga nigga bout ass baow nigga love freak uh fuck huh fuck ayi refrain turnt nigga ayi turnt bitch ayi turnt yeah cuzzo blicki ayi fan danc huh hater kiss ass mwah turnt nigga ayi turnt bitch ayi turnt yeah cuzzo ayi cuh hen yeah gettin fuck twin backwood bankrol band twitter typin bitch nothin weak ass crop biker short showin moos knuckl woo feelin yeah outsidе bae uhhuh brownskin nigga dread blackass nigga wave lеt ayi gon drop neck ayi love sex ayi fake nail bitch press ayi damnnear wreck ayi pussi fresh ayi yeezi shirt wet ayi smoke ayi ho chest fuck glorilla liveget ticket likerefrain turnt nigga ayi turnt bitch ayi turnt yeah cuzzo blicki ayi fan danc huh hater kiss ass mwah friday yup ninetyf degre woo nigga nigga bout ass baow nigga love freak huh fuck huh eww friday night hot hoe manipedi fresh set toe pff rockin offwhit hey night uhhuh bitch pretti yeah fight yeah ayi fuck inch sixthirteen hey lookin fine woah tryna duh finna wreck scene huh hey turnt nigga nem watch refrain turnt nigga ayi turnt bitch ayi turnt yeah cuzzo blick ayi fan danc huh hater kiss ass mwah friday yup ninetyf degre woo nigga nigga bout ass baow nigga love freak eww fuck huh outro ew ew ew ew ew ewemb
33,Sailor Song,Gigi Perez,"['USA', 'In English', 'LGBTQ+', 'Independent', 'Alternative', 'Pop']",rightest ann hathaway laugh hit pen cough cough knee beg babi kiss mouth love sailor tast flavor god savior mom worri cover favor dirti forget wrong sleep hate wait sleep hate wait finger mouth captur sting venom gonna spit kiss mouth love sailor tast flavor god savior worri drip favor dirti forget wrong sleep hate wait sleep hate wait likeoutro wall hous cat babi mous laugh wanna sit outemb
34,I Can Do It With A Broken Heart,Taylor Swift,"['Electro House', 'House', 'Dance', 'Nu Disco', 'Dance-Pop', 'Electro-Pop', 'Electronic', 'Synth-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']",read mind time life glitter prime light refract sequin star silhouett night lie prechoru real tough kid handl shit babe gotta fake light camera bitch smile wanna die love life life short break hit floor piеc shatterеd crowd chant grinnin winnin hittin mark broken heart depress birthday day obsess avoid plagu lot product art broken heart taylor swift liveget ticket likevers hold breath doin left find drawer crucial evid imagin pass prechoru real tough kid handl shit babe gotta fake light camera bitch smile stiletto mile love time time short break hit floor piec shatter crowd chant grinnin winnin hittin mark broken heart depress birthday day obsess avoid avoid plagu lot product art broken heart outro broken heart miser haha jobemb
35,Saturn,SZA,"['Pop', 'Dream Pop', 'Alternative Pop', 'Pop-R&B', 'USA', 'In English', 'Psychedelic Soul', 'Alternative R&B', 'R&B']",univers nois nois sign sign life lose love repeat pain hate prechoru stuck paradigm paradis sick head intrus paralyzе nirvana advertis therе ooh ooh ooh life saturn break pattern float ooh ooh ooh worth save sza liveget ticket likepostchoru saturn matter dream saturn karma real unfair wrong reward die poor prechoru stuck terradom ooh terribl ooh hyster ooh sick head ooh intrus paralyz ooh nirvana advertis ooh ooh ooh ooh life saturn break pattern float ooh ooh ooh worth save postchoru saturn matter dream saturn outro ooh ooh ooh ooh ooh oohemb
36,It's Ok I'm Ok,Tate McRae,"['Pop-R&B', 'R&B', 'Electro-Pop', 'Dance-Pop', 'Canada', 'In English', 'Pop']",yeah uh excit lock mmh yeah movin prettyfac talker money close mother seein onesid side prechoru perfect version nervou babi hey posit hey babi twist hey nothin yeah yeah gotta tate mcrae liveget ticket likepostchoru romant romant fuck month flight prechoru perfect version nervou babi hey posit hey babi twist hey nothin gotta postchoru gotta postchoru outro girl girl girl girl yeah yeah girl girl yeah himemb
37,Pink Pony Club,Chappell Roan,"['LGBTQ+', 'Dance-Pop', 'Alternative Dance', 'Synthwave', 'Synth-Pop', 'Alternative', 'Art Pop', 'Ballad', 'Alternative Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']",stay ignor crazi vision heard special boy girl queen singl day prechoru wick dream leav tennesse hear santa monica swear call mama gonna scene babi girl gonna scream god pink poni girl danc club mama fun stage heel belong pink poni club gonna danc pink poni club gonna danc west hollywood gonna danc pink poni club pink poni club likevers jaw floor lover bathroom door black light mirror disco ball night reason left prechoru wick dream tennesse santa monica mama gonna scene babi girl gonna scream god pink poni girl danc club mama fun stage heel belong pink poni club gonna danc pink poni club gonna danc west hollywood gonna danc pink poni club pink poni club bridg left love tennesse mind mama saturday hear southern drawl mile god pink poni girl danc club mama fun stage heel belong pink poni club gonna danc pink poni club gonna danc west hollywood gonna danc pink poni club pink poni club outro gonna danc gonna dancingemb
38,Like That,"Future, Metro Boomin & Kendrick Lamar","['Southern Rap', 'Diss Track', 'Hardcore Rap', 'USA', 'In English', 'Hip-Hop', 'Atlanta Rap', 'Trap', 'Rap']",futur gotta joint bitch metro metro metro time yeah futur stickin code hoe street nose gon pussi leak pussi nigga told gon wake sleep hear switch hear nigga scream hoe shroom nigga hoe coke twentycarat finger throat uh uh uh lose carat choke uh uh uh gon swallow goat uh uh uh freeband nigga bring rack shooter corner pack exot bitch attract shitll brrt motto ball championship game hoe hungri gon fuck gang fuck chain girl bitch twirlin dick syrup bitch bitch brought erc bitch murk bitch pointer babi game time bring friend bitch fuck em time nigga lil yeah likechoru futur dope dealer sellin dope kickin door kickin door yeah throw nigga sellin load yeah nigga steppin balenc pop bottl postchoru michel thug kendrick lamar futur nigga talkin neck pull coffin mouth paranoid threat ayyayi bro dot money power respect lot goofi check hope sentiment symbol tempera bipolar choos violenc time prove nigga clickin legit water em yeah huh yeah fuck sneak dissin firstperson shooter hope switch crash fuck rap diss mell mel teez snatchin chain burnin tattoo lost soldier play safe walk stick andré drop locat ptsd motherfuck nigga nigga bum light pack nigga princ outliv mike jack nigga bum fore dog gettin buri nine gon pet sematari yeah nigga bum futur kendrick lamar dope dealer sellin dope yeah yeah kickin door kickin door yeah throw nigga sellin load holi water holi water yeah nigga steppin balenc pop bottl postchoru michel thug instrument break futur dope dealer sellin dope kickin door kickin door throw nigga sellin load nigga steppin balenc pop bottl postchoru michel thug outro futur bang dope nigga slangin powder walk strip club rain hour lock phantom driver percd chanc hood nevada surf white interior lasagna thousand cash design gotta devour nigga learn jungl sell load weekemb
39,Si Antes Te Hubiera Conocido,Karol G,"['Merengue', 'Colombia', 'En Español', 'Latin Pop', 'Latin Urban', 'Latin Music', 'Pop']",lyricsletra ant te hubiera conocido intro qué lo estamo rulay empezó el verano fuego coro qué hubiera sido ant te hubiera conocido segurament estaría bailando esta conmigo como amigo postcoro sino como otra cosa ust cerca pone peligrosa por besito hago cualquier cosa novia suya pone celosa aunqu hermosa ey precoro te tratar como yo te besar como yo está tan rica así como yo ella tímida yo esta gana tengo yo atrevo comerm lo hoy está jangueando ella pero mmm despué tal vez likecoro qué hubiera sido ant te hubiera conocido segurament estaría bailando esta conmigo como amigo ey qué hubiera sido ay ant te hubiera conocido segurament estaría bailando esta conmigo como amigo ey verso yo te veo sé cómo actuar bebé conquistart pasen el manual espero lo sea yo voy quitar tengo fe eso ojito día van mirar yo caso contigo mi nombr suena bien tu apellido toy esperando el primer descuido presentart como mi marido yo caso contigo mi nombr suena bien tu apellido toy esperando el primer descuido presentart como mi marido entendido precoro te tratar como yo te besar como yo está tan rica así como yo ella tímida yo esta gana tengo yo atrevo comerm lo hoy está jangueando ella pero mmm despué tal vez coro qué hubiera sido ant te hubiera conocido ey cómo segurament estaría bailando esta conmigo como amigo ey ey ey ey qué hubiera sido ant te hubiera conocido chiquichá chiquichá chiquichá chiquichá jaja uhuhuhuh qué hubiera sido ant te hubiera conocidoemb
40,High Road,Koe Wetzel & Jessie Murph,"['USA', 'In English', 'Country']",koe wetzel mad surpris day met cut bleed rumor yell fight mind drive koe wetzel ima road stone terribl ima cool walk mess time ticket shit knock hit ima road road road jessi murph wanna talk boy surprisе smell likе liquor night catch gon catch hear rumor yell fight mind drive likechoru koe wetzel jessi murph ima road stone terribl ima cool walk mess time ticket shit knock hit ima road road road whoa whoa instrument break koe wetzel jessi murph ima road stone terribl ima cool walk mess time ticket shit knock hit ima road road road ima road road road yeah yeah mmemb
41,Dancing In The Flames,The Weeknd,"['Pop-R&B', 'Synthwave', 'Latin Freestyle EDM', 'Progressive Trance', 'EDM', 'Trance', 'New Wave (Rock)', 'Synth-Pop', 'Canada', 'In English', 'Dark R&B', 'R&B', 'Pop']",yeah traffic die racin melt light cover road hope chasin odyssey wait crash switchin lane love pain brake dancin flame indescrib postchoru ooh yeah heal radio grab wheel control dodgin headlight hold tight odyssey hey weeknd liveget ticket likechoru wait crash switchin lane love pain brake dancin flame indescrib postchoru ooh indescrib ooh bridg everyth fade bare fire ragin beauti amazin tast final odyssey wait wait ha crash switchin lane love pain hey brake dancin flame dancin flame faith faith indescrib postchoru ooh indescrib hey ooh indescribableemb
42,28,Zach Bryan,"['In English', 'USA', 'Country']",train south boston stay twentyeight blood lost feel love birthday somethin tonight west bar brooklyn tear outlin lucki week grown smoke seepin bloodi teeth upstair guitar bare fourteen mcglinchеi crowd thе crowd damn green lost mind street citi lost hope twentyeight blood pumpin even zach bryan liveget ticket likechoru lucki week grown smoke seepin bar street lucki week grown smoke seepin bar street outro train south boston heart stay twentyeight blood pumpin feel love birthdayemb
43,Wind Up Missin' You,Tucker Wetmore,"['In English', 'USA', 'Country']",ball cap bar stool pbr light sayin moon arm tonight heard time girl wave sunset crash night wine truck bed doin rest life lookin girl hard truth night gonna wind missin gotta babi boy daddi fall love kinda boy dumb shit yeah bet heard stori lookin likechoru wave sunset crash night wine truck bed doin rest life lookin girl hard truth night gonna wind missin bridg missin mornin wave sunset crash night wine truck bed doin rest life lookin girl hard truth night gonna wind missin outro wind missin wind missin youemb
44,Good Graces,Sabrina Carpenter,"['Alternative', 'Pop-R&B', 'Alternative R&B', 'R&B', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",fuck fuck love sweet angel drawin heart name dreamin write vow rockin cradl mistak nice naiv prechoru wast lot guy somethin suspect cute ass byeby ooh babi advic boy complic stay grace switch fast amazin turnin lovin hatr boy complic stay grace switch fast fast amazin turnin lovin hatr sabrina carpent liveget ticket likepostchoru fuck fuck fuck cool fuck fuck fuck yeah finish chore prematur break heart swear movin favorit athlet shoot shot night prechoru guy somethin su kiss cute ass bye boy complic stay grace switch fast amazin amazin turnin lovin hatr boy complic stay grace switch fast fast amazin turnin lovin hatr postchoru fuck fuck fuck fuck fuck fuck outro fuck fuck wontemb
45,Juno,Sabrina Carpenter,"['Pop-Rock', 'Rock', 'Dance-Pop', 'Dance', 'Funk', 'Funk-Pop', 'Synth-Pop', 'Alternative Pop', 'Alternative', 'Bubblegum Pop', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",ooh ahah ooh hot ass yeah packag babe fit god bless dad genet uh prechoru wanna fall love late night think bout ahah wanna fuzzi pink handcuff hear knockin babi touch life love juno lock tonight cute babi wanna fall love friend highfiv ahah feel objеctifi ahah hormonе butterfli sabrina carpent liveget ticket likeprechoru wanna fall love late night think bout ahah wanna freaki posit touch life love juno lock tonight cute babi wanna fall love bridg ador hold explor mark territori ahah ahah ador hold explor ahah fuckin horni guitar solo oohooh touch life love juno lock tonight cute babi wanna fall loveemb
46,Slow It Down,Benson Boone,"['In English', 'USA', 'Pop']",met invit parti walk green eye stolen flicker futur moment pictur touch talk staircas bout dream screen georgia lone citi lyin scare movin cri piec love jesu feel hate reason prechoru head spin slow moment drown deep dirti water hopeless doubt pull hold slow benson boon liveget ticket likevers funni futur rearrang nervou anxiou love danger lose girl left mother love hate prechoru head slow moment drown deep dirti water hopeless doubt pull hold slow breakdown slow ground cri slow slow spin head outro oohoohooh oohooh slow downemb
47,La Patrulla,Peso Pluma & Neton Vega,"['En Español', 'Regional Mexicano', 'México', 'Corrido', 'Latin Pop', 'Latin Urban', 'Latin Music', 'Pop']",lyricsletra patrulla verso neton vega peso pluma miren quién lo pensaría el muchacho fue arriba le sobra calidad varia ha librado andando en patrulla la gana superarm por la noch perturban sigo siendo el mismo solo cambi lo plane lo medio zumban repent vamo rumba porqu hoy pued hacer lo gusta lo dobl cara caen en punta lo peor del caso eso abundan coro peso pluma muero tú está véngase acá mi nena mamá véngase márquem mi celular te quiero acariciar tu pelo rozar interludio peso pluma neton vega así nomá compa neton sepan viejo así suena dobl viejillo jálese greña verso peso pluma todo le aprendido viejo bien firm bandera prohibido decir nombr da vuelta mundo en jet despega sient el peligro glock desenfunda digo el nombr por preguntan uno uva aquí voa prender varia ha librado andando en patrulla likecoro neton vega muero tú está véngase acá mi nena mamá llámame márcame mi celular te quiero acariciar tu pelo rozaremb
48,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,"['Genius Japan', 'Hip-Hop', 'Japanese', 'J-Rap', 'Japan', 'Trap', 'Southern Rap', 'Dirty South', 'Texas Rap', 'USA', 'In English', 'Rap']",lyricsミーガンザスタリオンmamushift 千葉雄喜 歌詞 intro megan thee stallion 千葉雄喜 koshi アッツー 私は スター スター ミーガン 雄喜 千葉 megan thee stallion 千葉雄喜 megan thee stallion 千葉雄喜 money star star star star star star star money star star star star star star star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スタースタースタースターキラキラ 私は スター real hot girl shit megan thee stallion stack tetri money game 私可愛い いい体 drinkin bottl gettin twist maruchan exot hermè croc hmm watch expens gettin clock hmm sexi shirt crop hmm carat diamond bunni hop japan meet gon bow yen friend pretti bring em goin dumb madam woo pourin sake mouth told plate bring chopstick south likechoru megan thee stallion 千葉雄喜 megan thee stallion 千葉雄喜 gеt money star star star star star star star money star star star star star star star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スタースタースタースターキラキラ 私は スター 千葉雄喜 流れる 星たち どこに向かう また 願い叶えながら暮らす ジュエリー身につけたまま歌う スター達が集まったスタジオ 夜な夜な酒たくさん並ぶアジト さっきまで六本木で収録ラジオ そっからテレビ撮影するはしご カメラたち追いかけてる俺たちを 大好きピカピカのダイヤ 暗いとこ輝いてる毎晩 nicе meet する挨拶 happi ありがたいな megan thee stallion 千葉雄喜 megan thee stallion 千葉雄喜 money star star star star star star star money star star star star star star star お金 稼ぐ 俺らは スター お金 稼ぐ 私は スター スタースタースタースターキラキラ 私は スターemb
49,"Love You, Miss You, Mean It",Luke Bryan,"['USA', 'In English', 'Country']",smalltown meant momma love daddi love burn road hous kiss driveway time hit highway call goodnight time love boy dreamin wait feel hold countin minut climbin wall kiss love babi graduat uga callin mile nothin fall time call happen love girl dreamin wait feel hold countin minut climbin wall kiss love babi yeah woo uh luke bryan liveget ticket likebridg forget late night blue phone lit heart love meant dreamin wanna feel hold countin minut climbin wall kiss love babi outro love love babi love love babyemb
50,360,Charli xcx,"['England', 'Hyperpop', 'Pop Rap', 'EDM', 'Bubblegum Bass', 'Dance-Pop', 'Electro-Pop', 'Electronic', 'UK Pop', 'UK', 'In English', 'Pop']",favorit refer babi gabbriett inspir tecton move em shock defibril style relat prechoru drop yeah camera flash stylish babi tee drop yeah lookin icon angl yeah yeah mirror mirror julia ahah parti bbbumpin beat princess streak julia ahah charli xcx liveget ticket likepostchoru bumpin bumpin bumpin citi sewer slut vibe intern recogn set tone design stuck mind legaci undeb gon jump love hate fuck care prechoru drop yeah camera flash stylish babi tee drop yeah lookin icon angl yeah yeah mirror mirror julia ahah parti bbbumpin beat princess streak julia ahah outro bumpin bumpin bumpin ahah bumpin bumpin bumpin ahah ahemb
51,Dos Dias,Tito Double P & Peso Pluma,"['En Español', 'México', 'Regional Mexicano', 'Corrido', 'Latin Pop', 'Latin Urban', 'Latin Music', 'Pop']",lyricsletra do día intro tito doubl do tre do tre verso peso pluma tito doubl uno trago panza ese periquito neta nomá baja ando atravesado porqu dice qué pasa do día enojada do día habla otra tu payasada yo aquí lo pana tú siempr exagerada cuando dice te quiero mija nomá te creo nada todo lo planeaba fue chingada coro peso pluma tito doubl mira en qué convertí encantan la paca mama el dinero babi yo te lo advertí estando solito yo era cagadero fui yo sino por ti quе hice adicto andar en еsta loquera guacha lo conseguí chingo culo uno llena likeinterludio tito doubl peso pluma ay mamá tito doubl así suena puta dobl compa tito ayayay chau verso peso pluma tito doubl el polvo ya pasa contesta media mi niña ya dime qué tranza acordé la noch chingamo allá en tu sala pue pasé por tu casa saludé tu mamá coro peso pluma tito doubl mira en qué convertí encantan la paca mama el dinero babi yo te lo advertí estando solito yo era cagadero fui yo sino por ti hice adicto andar en esta loquera guacha lo conseguí chingo culo uno llenaemb
52,Or What?,NLE Choppa & 41,"['In English', 'USA', 'Hip-Hop', 'Southern Rap', 'New York Drill', 'New York Rap', 'Jersey Club', 'Gangsta Rap', 'Trap', 'Memphis Rap', 'Rap']",kyle richh nle choppa emrld fuck bitch fuckin damn ayi ayi ayi ayi ayi ayi ayi ayi nut butt damn ayi ayi ayi ayi ayi ayi ayi ayi fuck kyle richh fuckin tonight toe pussi tight ride dick bike beat pussi fight night scari movi wanna record watch hot ice babi type type jenn carter kyle richh nle choppa feel freddi night love dash hyphen spend time bitch timeless sick mе caught iti feel trav thе lay starlight fuckin gotta depart carter dickhead girl huggin cuddlin night fuckin grrah bang likevers tata tata nle choppa pretti hard solv riddl yeah touch jiggl drunk kiss fuckin tryna hip yeah brown skin joint dimpl light skin simpl dark slut time game fuckin kyle rich nle choppa ayi ayi ayi ayi ayi ayi ayi ayi nut butt ayi ayi ayi ayi ayi ayi ayi ayi phew nle choppa fuckin nother ho spot phew tryna tie bitch knot knot os pot wanna fuck ritz rich throwin fit throw dick throw sick love ratchet seat ride traffic twin glock matchin dad daddi thug love wanna drug pink pill bae fuckin ooh bridg nle choppa kyle richh bad bitch ooh ratchet nut butt ooh bad bitch wanna fuck love pill percocet love pill percocet fuck yeah kyle richh nle choppa ayi ayi ayi ayi ayi ayi ayi ayi nut butt fuck ayi ayi ayi ayi ayi ayi ayi ayi fuckemb
53,Help Me,Real Boston Richey,"['Southern Rap', 'East Coast Rap', 'In English', 'USA', 'Hip-Hop', 'Florida Rap', 'Gangsta Rap', 'Trap', 'Rap']",beggin shit gotta fight love shit mac fli nigga doe bah babi babi babi tryna life leav hoe pray god leav street thuggin shit gettin babi leav day hеart cold tire pipin thеse bitch shit provolon tryna digit time watch cracker bitch pickin fuck hoe bought fourteen acr stay mobil home bad bitch bodi count focu nigga career truth told fuck holm bad bitch takin bitch ballin nigga court laker wealthi nigga babi girl paper love trust paper wanna fuck real babi judg lie nigga stuck shit corrupt ima getback life trust nigga kick cut poppin bubbl nigga eye fuck hous stick lil bitch stuck real boston richey liveget ticket likevers lil bitch playin mind game tryna trick mindfram block bitch promis mind hellcat hit ga hear whine up pack talkin sign babi hit song guess time promis stay shit eye blind yeah told bitch cheatin cryin yeah shit time fuckin bitch told gettin mon yeah told fuckin bitch cum bought whip speak yeah cheat realest bitch love love trust paper wanna fuck real babi judg lie nigga stuck shit corrupt ima getback life trust nigga kick cut poppin bubbl nigga eye fuck hous stick lil bitch stuck meemb
54,Diet Pepsi,Addison Rae,"['Pop-R&B', 'Art Pop', 'Dark Pop', 'Adult Alternative', 'Alternative Pop', 'In English', 'USA', 'Pop']",boy winner love game lip reflect cross gold chain tell ass rip blue jean cheek red cherri spring bodi art die prechoru untouch xo lust drive car babi sweet lose innoc backseat love love love love lose innoc backsеat drive car babi sweet lose innocеnc backseat love love love love lose innoc backseat break rule caught fog window park lot summer love sexi sit lap sippin diet pepsi write lipstick chest leav mark likeprechoru untouch untouch xo xo lust drive car babi sweet lose innoc backseat love love love love lose innoc backseat drive car babi sweet lose innoc backseat love love love love lose innoc backseat bridg babi babi xo drive car babi sweet lose innoc backseat love love love love lose innoc backseat drive car babi sweet lose innoc backseat love love love love lose innoc backseat postchoru untouch lust xo goemb
55,Big Dawgs,Hanumankind X Kalmi,[],
56,Beautiful As You,Thomas Rhett,"['USA', 'In English', 'Country']",babi girl mind thinkin bout day met coulda layin lookin extra cute mornin lookin borin prechoru type peopl wishin sit flight list wanna wash island dream countin girl magazin mysteri beauti doin ridin swear girl anyonе choos askin question fore gеt leav beauti doin wakin gonna lie choos askin question fore leav beauti fall blue walkin sweater girl view spend rest treasurin ooh follow truth yeah thoma rhett liveget ticket likeprechoru type peopl wishin sit flight list wanna spend dream countin girl screen mysteri beauti doin ridin swear girl choos askin question fore leav beauti doin wakin gonna lie choos askin question fore leav bridg yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah outro beauti doin wakin swear girl choos askin question fore leaveemb
57,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,"['Hip-Hop', 'Gangsta Rap', 'Trap', 'Southern Rap', 'Memphis Rap', 'Country Rap', 'Country', 'In English', 'USA', 'Rap']",moneybagg yo shot love turbo haha doubl morgan wallen moneybagg yo whiskey whiskey day memori play tire tire wanna whiskey friend tire hey tire yeah speak moneybagg yo dark brown skin caught eye contact walkin walk perfect time lockin link rock lil salt rim fill fell del dia shot sin rack jean skinni plain richard mill squar busi boss club twosteppin diamond neck squaredanc gangster romant fiendin love addict ayi addict nothin nah countri motherfuck howdi howdi lil cowgirl ride stallion uh uh love tire bad likechoru morgan wallen moneybagg yo whiskey whiskey day memori play tire tire wanna whiskey friend tire tire morgan wallen hide shelf swear hard leav guess gonna tie cold pour ice lock whiskey wife hit gon night morgan wallen moneybagg yo whiskey whiskey day memori play tire tire wanna whiskey friend tire tire outro morgan wallen tire tire itemb
58,Houdini,Eminem,"['Pop', 'Pop Rap', 'Comedy', 'Midwest Rap', 'Hip-Hop', 'Detroit Rap', 'In English', 'USA', 'Rap']",lyricsskit paul rosenberg hey em paul uh listen album fuck luck intro eminem guess shadi friend guess guess guess guess guess guess guess dadada da da da da da da dadada da da da da eminem stork brung babi devil fork tongu stickin yeah sore thumb bleah forehead grew horn white jerk pullin chrysler cypher vic perc bud light shirt lyric technician electrician yall light gotta play pretend stay leav aspirin break feve megan thee stallion collab shot feat ha glad eminem liveget ticket likechoru eminem abraabracadabra trick bout reach bag bruh abraabracadabra trick poof bruh eminem day time dope fiend ate codein cope tast opiat oe smiley emoji shit age appropri ate hit particip trophi doubt world bout girl scout censorship bureau shut start start lightheart feel target mind bogglin profit skyrocket pocket yeah shit yall light joggin run speed noggin fight yall debat op whitechalkin step mic cock god eminem abraabracadabra trick bout reach bag bruh abraabracadabra trick poof bruh bridg eminem med shit shit gay happi eminem kid wanna bigger prick cacti sting attack bee coup lean seat bumpin kelli favorit black guy pee air max white walkin parent advisori transgend cat siames identifi black act chines motherfuckin hacki sack treat feet explain danger hop track kangaroo anger fuck shit ima shit cancel paul quit snakeass prick male crossdress fakeass bitch shit watch suck dick fuck fuck dre fuck jimmi fuck fuck fuck kid brat fuck em screwoff paul ball rupaul gon caught sleepin kidnappin happen sherri papini harri houdini vanish air leav eminem abraabracadabra trick bout reach bag bruh abraabracadabra trick poof bruhemb
59,Guess,Charli xcx Featuring Billie Eilish,"['Türkçe Çeviri', 'Pop']",lyricsguess featur billi eilish için türkçe şarkı sözleri giriş charli xcx hey billi orada mısın uhuh bölüm charli xcx iç çamaşırımın rengini tahmin etmek ister misin aşağıda neler döndürüyorum bilmek ister misin pemb rengind güzel mi yoksa transparan mı yeni alt sırt dövmemi gösteriyor ağzına tıkmak güney doğru çekmek istiyorsun olayı başlatmak istiyorsun işt bundan bahsediyorum aaaağzına tıkmak güney doğru çekmek istiyorsun olayı başlatmak istiyorsun işt bundan bahsediyorum evet nakarat charli xcx dene ısır yala tükür yana çek için gömül giy onları gönder bunları remiksini yapabilirim onları dare gönderdim evet tahmin ediyorum buna tamam gibi dene ısır yala tükür yana çek için gömül giy onları gönder bunları remiksini yapabilirim yemek niyetin evet lezizo sorunlarımızı çözelim likebölüm billi eilish iç çamaşırının rengini tahmin etmem gerek yok aşağıda neler döndürüyorsun zaten biliyorum küçük fiyonklu siyah dantelli olan çift tokyoda senin için seçtiklerim oturduğunda onları gördüm dışarı bakıyorlardı şimdi sana diyeceğim düşündüğüm tek şey onlar nakarat billi eilish dene ısır yala tükür yana çek için gömül öp ısır onları bir deneyebilir miyim charli erkeklerden hoşlanıyor ama çakacağımı biliyor çakacağımı biliyor charli buna tamamsan ara beni köprü charli xcx billi eilish charli xcx billi eilish evet tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin tahmin çıkış charli xcx billi eilish charli xcx billi eilish billi ile hakkında mesajlaştığımızı bilmek ister misin saygısızca davrandın hâlâ googl driveımın şifresini tahmin etmey çalışıyorsun bana takıntılı mısın bulunduğumuz partinin adresini tahmin etmek ister misin gerçekten davetli değilsin bu şarkı hakkında ciddi olup olmadığımızı bilmek ister misinemb
60,Lonely Road,mgk & Jelly Roll,"['Country Pop', 'Country', 'Country Rock', 'In English', 'USA']",mgk lone road lone road mgk ima downtown time takin sunday life life coupl song rewrit yeah start monday pourin strong weeknight prechoru mgk hear devil wear prada read tag horn start showin mad wait couldv save crash trust love shе mgk castellow lone road takе wrong where ghost town likevers jelli roll mgk day feel night cold thousand mile ahahah alcohol hole prechoru jelli roll hear devil wear prada read tag horn start showin mad wait couldv save crash trust love jelli roll castellow lone road wrong where ghost town bridg mgk mgk lili balkcom jelli roll salvag soul sacrific life die palac leav wanna leav song hey mgk castellow jelli roll lone road lone road wrong where where ghost town outro mgk jelli roll lone road yeah road lone road feel lone road road lone road feel mmemb
61,Guy For That,Post Malone Featuring Luke Combs,"['Duet', 'USA', 'In English', 'Country Pop', 'Pop', 'Country']",post malon guy designin rifl mama boyfriend rebind bibl ricki road resol red wing guy damn lookin lookin post malon tire drive lose left neverlovin mind damn dime pretti breakin heart pickin piec hard searchin gonna build guy postchoru post malon guy guy guy luke comb vip mit lеt fli time machinе hand ap buddi post malon liveget ticket likechoru luke comb tire drive lose left neverlovin mind damn dime pretti breakin heart pick piec hard searchin gonna build guy postchoru luke comb post malon post malon luke comb guy guy guy guy guy guy guy guy guy thatemb
62,Nights Like This,The Kid LAROI,"['Chillout', 'Neo-Psychedelia', 'In English', 'Australia', 'Pop']",hold hand ash love casket feel maskin lay askin red wine kiss hous parent rent howd forget nothin night love heal soul night night night ooh ooh bridg night ooh ooh night love heal soul night night night likе ooh oohse kid laroi liveget ticket likeemb
63,Am I Okay?,Megan Moroney,"['In English', 'USA', 'Country']",check puls heart beatin exhal breathin feet ground someth chang playin black babi friend swear crazi god walk dream heaven funni smart love cryin dyin messin happi wanna stay god guy brought flower pick phonе hour thеi cheat lie sorta fight wait guy commun lookin heart break megan moroney liveget ticket likechoru god walk dream heaven funni smart love cryin dyin messin happi wanna stay god bridg feel sad song soundtrack feel god walk dream heaven funni smart love cryin dyin messin happi wanna stay god outro check puls heart beatin exhal breathinemb
