Rank,Title,Artist,Genre,Lyrics
11,Not Like Us,Kendrick Lamar,"['Hyphy', 'Hardcore Rap', 'Hip-Hop', 'Diss Track', 'In English', 'USA', 'West Coast Rap', 'Rap']",psst dead peopl mustard beat ho ayi mustard beat ho deebo rap nigga throw amberlamp breath bro nail nigga cross walk teezo jabroniass nigga tryna compton industri hate fuck em mama opp option finna pass bodi john stockton beat ass hide bibl god watchin gotta pop nigga certifi boogeyman score em walk time ho pole extort shit bulli death row drake hear em cell block bitch talk love hide lil sister chubb handmedown parti parti playin nose baka weird certifi lover boy certifi pedophil wop wop wop wop wop dot fuck em wop wop wop wop wop ima stuff trollin bitch tire tryna strike chord minor likechoru bay gon disrespect pac nigga oakland gon nigga cole foul pretendin owl bird nigga burnt bitch audienc dumb shape stori hey drake slow rabbit hole deep promis somethin brad stand bitch malibu law boy ball boy fetch gatorad somethin bitch jumpin niggasl wedgi flip boxer ovo vagin option pussi nigga straighten postur famou compton write doctor pop star quit hidin fuck action accid handson fuck polish fuck wayn girl jail connivin tat bitch apologizin glad deroz yall deserv alondra central nigga speak serena homeboy subpoena predat flock gotta regist neighborhood watch lean nigga wock yeah eye ima send pac ayi wrong label ima em drop ayi sweet chin music pass aux ayi stock stock ayi ayi devil lie god ayi freakyass nigga stay ass ayi roll ass fresh pack ayi citi ayi time chain homi doubl callin slave atlanta mecca buildin railroad train bear yall game settler usin townfolk em richer fastforward agenda atlanta check balanc break real nigga challeng call futur club ayi lil babi help lingo fals street cred thug feel slime head ayi quavo northsid chainz lie atlanta dollar colleagu fuckin colon famili matter truth matter god plan yall liar bridg mmmm fan fan fan fan fan freakyass nigga god freakyass nigga god hey hey hey hey life hey hey hey hey life freakyass nigga god freakyass nigga god hey hey hey hey life hey hey hey hey life hear ovho ovho ovho ovho step step step step outro friend lock step step step step wayemb
12,Timeless,The Weeknd & Playboi Carti,"['AI', 'R&B', 'Pop Rap', 'Rap', 'USA', 'In English', 'Southern Rap', 'Pop', 'Canada', 'Atlanta Rap']",weeknd xo ooh yeah ooh yeah playboi carti weeknd jit shit ooh yeah shorti wanna wanna hit wanna hit hard main doubleo bust watch timeless timeless son rick pull gun hip pocket hold twentytwo clip break heart comm garçon shirt blimp bitch stain readi lick jit knеw shit singin song wanna diе lit tryna hit hous bank deposit bitch posit check smile play shit check uh ice neck doubleo wrist scat cat fresh trench pack uh yeah spinnin pari uh dress hoe finna flock pour soda pop drug finna hit feelin wrestlin demon feel rock likechoru weeknd playboi carti shit uh yeah kid legit jit ooh nah cut wrist dumb bit xo tat bodi yeah yeah wanna roll mind yeah jit legit ooh nah uh wanna yeah doubleo tat bodi yeah matter timeless yeah schyeah weeknd playboi carti citi comin sky yeah dome play day yeah gonna hurt feel skateboard bbc boy creep feel neptun drum beam yeah hippieflippin bean wanna fuck team fell love cream yeah fell love scene ooh yeah quiet peep nah broke heart ptsd nah hold chest breath breath nigga scheme priest cross send god tear pray loss ooh yeah yeah weeknd playboi carti kid legit homixid homixid homixid cut wrist xo tat bodi yeah bodi yeah wanna roll mind yeah jit legit yeah ooh nah wanna nah doubleo tat bodi yeah bodi yeah matter timeless outro weeknd playboi carti timeless timeless timeless timeless timeless timeless timeless timeless timeless timeless yeah timeless timeless yeah timeless timeless timeless blatt yuh litemb
13,Too Sweet,Hozier,"['Soul Rock', 'Pop-Rock', 'Adult Contemporary', 'Soul Pop', 'Adult Alternative', 'Soul', 'Alternative', 'In English', 'Ireland', 'Alternative Rock', 'Rock']",bird oclock word babi sleep tellin live bed daylight wake sunris gotta pretend babi prechoru wanna wake dark lake smellin bonfir lost haze drunk life babe whiskey neat coffe black bed sweet sweet whiskеi neat coffe black bed sweet mе sweet hozier liveget ticket likepostchoru ooh ooh ooh ooh aim aim true ground late phone job worri live babe treat mouth heaven gate rest tsa babe wrong prechoru bright morn soft rain pretti vine sweet grape sit barrel wait day whiskey neat coffe black bed sweet sweet whiskey neat coffe black bed sweet sweet postchoru woah woah woah woah woah woah woah woah outro whiskey neat coffe black bed sweet sweet meemb
14,Million Dollar Baby,Tommy Richman,"['USA', 'In English', 'Trap', 'R&B']",babi babi babi babi babi babi babi babi rep set babi tsk tsk wrong clean wrong wanna badli milliondollar babi yeah yeah yeah rep citi damn notic sound yeah yeah neck yeah yeah run check yeah yeah yeah yeah bad lil mama diva matter friend friend queen gambit yeah yeah friend pick energi matter move babi lie night chang stay lose mind ooh citi ooh likechoru rep set babi wrong clean wrong wanna badli milliondollar babi rep set babi wrong clean wrong wanna badli milliondollar babi outro nah yeah babi babi babi babi nah yeah nah nahemb
15,Hot To Go!,Chappell Roan,"['LGBTQ+', 'Alternative Pop', 'Synth-Pop', 'Alternative Dance', 'Dance-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']",addict head nonfict citi blame girl hot pretti refrain babi beat danc ninetynin degre prechoru hottogo snap clap touch toe rais hand bodi roll danc hot hottogo snap clap touch toe rais hand bodi roll hottogo likechoru hottogo hot hottogo hot woke stare cеile care hurt feel stare comе touch damn hot minut refrain babi beat sleep ninetynin degre prechoru hottogo snap clap touch toe rais hand bodi roll danc hot hottogo snap clap touch toe rais hand bodi roll hottogo hottogo hot hottogo hot bridg bring hurri time supper hot hurri cold hurri time supper hot hottogo hot yeah hottogo hot hot hottogo hot yeah hottogo hot outro whew hot hot woo come hot cabemb
16,Lies Lies Lies,Morgan Wallen,"['Ballad', 'In English', 'USA', 'Country']",sun hate mornin bodi runnin head bottl bourbon bed reach touch girl tonight nothin lie lie lie eye eye eye fool nothin lie lie lie girl downhil dive habit hard heartbreak hard break lie liе lie yeah babi givе damn bet missin bad snowbal phone soundin somethin stupid babi truth proof tellin likechoru lie lie lie eye eye eye fool nothin lie lie lie girl downhil dive habit hard heartbreak hard break lie lie lyin sayin honest sayin prechoru sun hate mornin nothin lie lie lie eye eye eye fool nothin lie lie lie girl downhil dive habit hard heartbreak hard break lie lie lie outro lie lie liesemb
17,I Am Not Okay,Jelly Roll,"['USA', 'In English', 'Ballad', 'Mental Health', 'Country']",bare lose track day lose sleep night hang rail fine learn hide hold life god gonna alright gonna alright woke stay bed devil voic head day bad day wors day swear layin dirt jelli roll liveget ticket likechoru hold life god gonna alright wеre gonna alright gonna gonna bе bridg day painll wash holi water tide gonna alright hold life god gonna alright gonna alright gonna alrightemb
18,Miles On It,Marshmello & Kane Brown,"['In English', 'USA', 'EDM', 'House', 'Electronic', 'Pop', 'Dance', 'Country Pop', 'Dance-Pop', 'Country']",kane brown truck lift road tearin wheel innoc hitch seat histori fake chang kane brown girl mile chevi engin runnin truck bed wide california king break mile chevi engin runnin truck bed wide california king wе break milе break kane brown night brake tail gate gotta hard babi push start torqu speed offroad fast foot touch ga hey babi slow fun likechoru kane brown yeah mile chevi engin runnin truck bed wide california king break mile break mile break bridg kane brown mile mile mile mile night radio dial shoulder shoulder goin goin kane brown puttin mile chevi engin runnin truck bed wide california king break mile chevi engin runnin truck bed wide california king break mile break mile break mile itemb
19,Ain't No Love In Oklahoma,Luke Combs,"['Soundtrack', 'In English', 'USA', 'Country']",chase devil deadend highway ride storm run vein shot tailspun airplan scare scare death breath catch breath chase devil deadend highway love oklahoma whistl black train come ya ride wind rain save red river red river tryna drown knock stand ground fall run stand pray peac thе thrill chase devil samе deadend highway luke comb liveget ticket likechoru love oklahoma whistl black train come ya ride wind rain love oklahoma whistl black train come ya ride wind rain love oklahoma whistl black train come ya ride wind rainemb
20,Cowgirls,Morgan Wallen Featuring ERNEST,"['In English', 'USA', 'Duet', 'Alternative R&B', 'R&B', 'Country Pop', 'Country']",morgan wallen set field cuttin pastur fallin leav cold heart warm smile cut cloth kinda buck wild bit angel lotta outlaw troubl yall morgan wallen live cowgirl gonna settl girl leav lone ghost town sun rise rodeo night love mustang hand thеm giddyup rein hole heart somе aim goodby ride fine kinda live cowgirl yeah live cowgirl ernest hate love kiss tast whiskey wake leav heart broken holdin smokin gun guess wild hors em likechoru ernest live cowgirl gonna settl girl leav lone ghost town sun rise rodeo night love mustang hand giddyup rein hole heart aim goodby ride fine kinda live cowgirl yeah live cowgirl bridg morgan wallen cowgirl wanna lay girl wild lovin god sake morgan wallen morgan wallen ernest live cowgirl gonna settl girl leav lone ghost town sun rise rodeo night love mustang hand giddyup rein hole heart aim goodby ride fine kinda live cowgirl yeah live cowgirl outro morgan wallen live cowgirl yeah live cowgirlsemb
